error_percent,id,weighted_error_percent,weighted_quality_score,weighted_completeness_percent,schema_version,quality_score,pid,quality_rating,weighted_quality_rating,title,completeness_percent,publisher
16.28,3db58c78-fc8b-49b2-a847-b43fd0184500,15.87,72.22,60.32,1.1.7,76.38,fdf9ac68-fc89-4adf-9a73-3a94a9974aef,Silver,Bronze,Ethical Tissue - University of Bradford,69.05,ALLIANCE > TISSUE DIRECTORY
55.81,3e4d27e2-baa8-4bb5-a711-d0b36f1f278c,60.32,36.5,33.33,1.1.7,31.62,86f46be3-bc29-4820-8363-de6530a94c6f,Not Rated,Not Rated,Diagnostic Imaging Dataset,19.05,
55.81,3e923281-bfde-48a8-86fd-73e429cce811,60.32,36.5,33.33,1.1.7,31.62,0e47bbf0-0d60-4c7c-85a5-543957635471,Not Rated,Not Rated,CPRD GOLD ICNARC,19.05,
46.51,3ed8d3fe-92a3-43bc-9fba-274fb34847af,46.03,29.36,4.76,1.1.7,29.12,36f54a48-6f0a-4827-a86b-fd677a22a88f,Not Rated,Not Rated,Higher Education Statistics Agency (HESA),4.76,
46.51,3ee4c2af-ff04-4dcf-830e-420e0a21a6d2,46.03,29.36,4.76,1.1.7,29.12,fc66381e-cc46-4bca-85fc-fc2ee09cc5dd,Not Rated,Not Rated,mHealth for pneumonia prevention,4.76,
16.28,3f00330d-1f45-4cab-86c2-e91b7c1a59e9,15.87,72.22,60.32,1.1.7,76.38,4684d391-a6a7-44f7-bf4b-62b6b693f9fa,Silver,Bronze,Multiple Sclerosis and Parkinson's Tissue Bank,69.05,ALLIANCE > TISSUE DIRECTORY
55.81,3f6962d8-1f4c-49b0-80a8-e491d5205827,60.32,36.5,33.33,1.1.7,31.62,1c27bfbf-c659-42ff-8afe-d58250b49c07,Not Rated,Not Rated,Outpatient Appointment Dataset,19.05,
27.91,3fbef1ac-fa6d-4c72-836d-3a8d8a0f7b08,26.98,79.36,85.71,1.1.7,75.33,d6e8163f-2ab8-4880-bbb6-a174b4a95632,Bronze,Silver,Barts Health NHS Trust COVID-19 EHR Extracted Dataset,78.57,ALLIANCE > BARTS HEALTH
27.91,3fc555e1-3e36-46dc-bef1-2d94d560bcb2,30.16,77.78,85.71,1.1.7,75.33,cfa1ef13-8ae0-4827-8a0f-9d2df5244725,Bronze,Silver,The impact of ethnicity and multi-morbidity on C19 hospitalised outcomes,78.57,HUB > PIONEER
53.49,3fcdcced-e16a-4f04-a521-ffe1047f37cb,55.56,38.88,33.33,1.1.7,32.78,fe8f8e2c-2f77-464d-9d45-a601cb2f8bf9,Not Rated,Not Rated,National Paediatric Diabetes Audit - survey of workforce in PDUs,19.05,
13.95,3fceb952-0b21-40f4-bd69-fa5cd7ad7df9,15.87,92.06,100.0,1.1.7,90.64,29a714e1-5289-4362-be24-2848c954344e,Gold,Gold,Cafcass Wales,95.24,ALLIANCE > SAIL
46.51,3fd2760d-ab12-48ee-8b32-b229aead60a4,46.03,29.36,4.76,1.1.7,29.12,56130df6-1880-4600-a7a4-afa9a4bcc895,Not Rated,Not Rated,Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,4.76,
37.21,40573895-497b-4d47-90e1-6aafe70b93f6,36.51,38.89,14.29,1.1.7,39.73,e830b2a5-14d6-4643-a206-619bf5372dc8,Not Rated,Not Rated,Endobase,16.67,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST
25.58,41a667eb-1c84-4665-b0d4-d26405d277c5,26.98,75.4,77.78,1.1.7,72.93,0e38bbf4-c788-4a1a-9af8-a24821250154,Bronze,Bronze,Domiciliary Social Care Worker [DSCW],71.43,ALLIANCE > SAIL
16.28,41ac5dfd-7b23-4f1b-a91e-03e8186e4ab8,17.46,69.05,55.56,1.1.7,74.0,4346676d-6108-47de-b579-6cef74c6acef,Bronze,Bronze,Care-seeking practices for childhood pneumonia in non/tribal areas of Pune India,64.29,HUB > BREATHE
27.91,41ce265a-c252-45c4-9b80-d764b0737f38,30.16,79.37,88.89,1.1.7,76.52,bfb90d2b-746d-44a6-a896-4979d73d9276,Silver,Silver,Quality of Life of Colorectal Cancer Survivors: Patient Reported Outcomes (Aurum,80.95,ALLIANCE > CPRD
53.49,41f6dfe9-d5e2-4641-9953-1589c7d35e07,55.56,38.88,33.33,1.1.7,32.78,fdfa5116-4f44-457d-99ef-e8c1852aa858,Not Rated,Not Rated,Death Registration Data - Finalised Extracts,19.05,
53.49,425e39b4-cc2b-4a15-851a-a0093ef1e1f8,55.56,38.88,33.33,1.1.7,32.78,33b36393-3760-40d8-bb98-61806fea5398,Not Rated,Not Rated,National Asthma and COPD Audit (NACAP): secondary care  – CYP asthma (clinical),19.05,
39.53,4262e057-6978-4e4c-a05d-c4f328422090,39.68,67.46,74.6,1.1.7,61.19,e9b43936-e700-40c9-8b32-57ed44583f3d,Not Rated,Bronze,Mental Health and Learning Disabilities Data Set,61.9,ALLIANCE > NHS DIGITAL
20.93,42ac7c27-a37b-4081-8a33-51ac077e6a4e,30.16,84.92,100.0,1.1.7,87.16,9c1727f6-2032-413f-bf60-470769b2616e,Gold,Silver,Cystic Fibrosis Patient Microbiology Cultures,95.24,ALLIANCE > CYSTIC FIBROSIS TRUST
53.49,42e4299f-1e06-4e24-ab40-b71949f5cba3,55.56,38.88,33.33,1.1.7,32.78,48ef8f54-9606-4e6f-9256-3cc07ffd10b8,Not Rated,Not Rated,Pathology - PATH,19.05,
53.49,4330b6ee-f333-4cd8-90b9-0f43f7cb0b67,55.56,38.88,33.33,1.1.7,32.78,2193ad56-6671-4ecc-9ecf-6da84e23e9fd,Not Rated,Not Rated,Covid-19 Infection Survey linked with VOA and EPC data,19.05,
13.95,45499ef9-daca-4a88-8493-c3c1a92960d0,15.87,91.27,98.41,1.1.7,89.45,d415a5c5-8432-4a81-937f-12135ade6de7,Gold,Gold,Welsh Ambulance Services NHS Trust,92.86,ALLIANCE > SAIL
16.28,458d7f2d-9ba8-4593-862c-14160692d494,17.46,70.63,58.73,1.1.7,76.38,c15bc3ad-c053-496b-863f-1d54075d5bd4,Silver,Bronze,Asthma and COPD: practices and perceptions of GPs in rural India,69.05,HUB > BREATHE
53.49,459387f3-c484-441d-9abb-b6ee22df86d2,55.56,38.88,33.33,1.1.7,32.78,a325f33e-bac8-49af-896f-1e025941dae8,Not Rated,Not Rated,Public Health Research Database (PHRD),19.05,
44.19,46493a09-b3bb-4c0e-b944-82665ee21508,49.21,64.28,77.78,1.1.7,60.05,9c31a2bd-ff3a-4379-a4b8-0b90527a4c38,Not Rated,Not Rated,Mental Health Minimum Dataset v4 (Sensitive) Events,64.29,ALLIANCE > NHS DIGITAL
34.88,46762bdc-42f9-4c92-92fe-9c757083ad33,34.92,44.45,23.81,1.1.7,46.84,fe8f8e2c-2f77-464d-9d45-a601cb2f8bf9,Not Rated,Not Rated,National Paediatric Diabetes Audit - Spotlight survey of workforce in Paediatric Diabetes Units,28.57,ALLIANCE > HQIP
13.95,46e30817-b19e-40f2-9b06-9611b2985148,15.87,92.06,100.0,1.1.7,90.64,a0c27454-8cbe-418f-bdae-a85d5e92e9d4,Gold,Gold,Maternity Indicators Dataset,95.24,ALLIANCE > SAIL
46.51,46f6e0d3-412e-4799-8683-1ca649b99eec,46.03,29.36,4.76,1.1.7,29.12,d57d7956-d13e-49c4-bb31-889b8e560596,Not Rated,Not Rated,Developing and Evaluating Interventions to Improve Asthma Care,4.76,
32.56,4710222c-9830-4ae4-8be6-b25c723812e1,33.33,45.24,23.81,1.1.7,48.0,fe6a4c83-f46f-4f61-8460-e120fdf8d864,Not Rated,Not Rated,Sentinel Stroke National Audit Programme Acute Organisational survey dataset,28.57,ALLIANCE > HQIP
16.28,47d22aea-cbe9-47d4-8f65-45861d9c5f6f,15.87,72.22,60.32,1.1.7,76.38,6ac9b356-00f1-49da-825a-6eb04d18e49d,Silver,Bronze,Tayside Biorepository,69.05,ALLIANCE > TISSUE DIRECTORY
53.49,47e26b2b-8be1-4595-a327-a9f00e0d4712,55.56,38.88,33.33,1.1.7,32.78,44ca2cf8-679e-447c-a9eb-55b32159679a,Not Rated,Not Rated,NIHR IBD BioResource: Consent records,19.05,
20.93,47f57de8-aa71-4df1-af4a-a81e37d4ae8c,19.05,72.22,63.49,1.1.7,75.25,425f4534-51c4-4f75-8ca0-d7c731dbd903,Bronze,Bronze,"St Thomas' Hospitals Plasma, serum & DNA Bio bank from patients with antiphospholipid antibodies",71.43,ALLIANCE > TISSUE DIRECTORY
25.58,480ccd8a-309e-417a-ac23-5b2d9cd281b1,25.4,54.76,34.92,1.1.7,56.26,93a7352f-fce4-42c9-9a8c-efc7fe23eda0,Not Rated,Not Rated,Genotype,38.1,UK Biobank
18.6,48182af6-2ccd-44b2-92d5-69cc140e7d67,22.22,87.31,96.83,1.1.7,87.13,0fb33df6-ab36-4170-9fad-1eaf35a3a812,Gold,Gold,North West London Primary Care Prescriptions Data (NWL PCP),92.86,HUB > DISCOVER NOW
51.16,483be944-b3ea-4037-b22b-4e9ffca3e613,50.79,41.27,33.33,1.1.7,33.95,ef850406-2993-43ec-80b9-ef504734f2ac,Not Rated,Not Rated,A granular assessment of the day-to-day variation in emergency presentations,19.05,
53.49,483f49ea-07b3-4efb-8bad-0d9af5ed5f0f,55.56,38.88,33.33,1.1.7,32.78,3c661240-e4d2-456c-a809-133c23f9c469,Not Rated,Not Rated,National Vascular Registry - Organisational Audit dataset,19.05,
34.88,489cb34a-f20d-4fe0-849a-db85f00141f5,34.92,44.45,23.81,1.1.7,46.84,3c19e2c9-96d5-45f3-9c55-fc3cec762cd7,Not Rated,Not Rated,Falls and Fragility Fracture Audit Programme National Audit of Inpatient Falls clinical dataset,28.57,ALLIANCE > HQIP
53.49,48deb24e-7a15-48d7-ba2c-c477ae61b55d,55.56,38.88,33.33,1.1.7,32.78,56993820-96e4-4a1f-9de1-bad53108c201,Not Rated,Not Rated,NIHR BioResource: Sample holding,19.05,
34.88,491cc634-05e8-48fe-9018-ffb9e7eed84e,34.92,44.45,23.81,1.1.7,46.84,949d9d7a-a3f1-480a-8563-3fb024300561,Not Rated,Not Rated,"National Audit of Dementia - spotlight audit on the prescription of psychotropic medication, 2019",28.57,ALLIANCE > HQIP
53.49,4a4f5d83-e8fb-4249-9275-2a42d9f76c53,55.56,38.88,33.33,1.1.7,32.78,3f3df3be-05a8-42b2-89d9-f731deb7ea66,Not Rated,Not Rated,Cancer registration data for CPRD Aurum,19.05,
51.16,4a860548-406b-4a05-991e-0bc840e67974,50.79,41.27,33.33,1.1.7,33.95,464d8653-4e69-406b-93fd-d68c29d5dfdc,Not Rated,Not Rated,Health & Attainment of Pupils in a Primary Education Network (HAPN),19.05,
53.49,4abe1436-3a14-4779-aa03-28929e817411,55.56,38.88,33.33,1.1.7,32.78,af10ec29-1866-4726-b33f-3948afe182f2,Not Rated,Not Rated,Tayside & Fife Radiology,19.05,
34.88,4b2fbd88-71c7-4572-99ea-5987a72a0c1a,34.92,44.45,23.81,1.1.7,46.84,2c737d63-69f4-4a02-8df9-54c1e65e845f,Not Rated,Not Rated,Epilepsy 12 - National organisational audit (service descriptor questionnaire) and Trust profile,28.57,ALLIANCE > HQIP
46.51,4b3d70f4-ce62-478b-9ada-0419850d17af,46.03,29.36,4.76,1.1.7,29.12,cda770e3-0d4d-466f-8102-c56beff04848,Not Rated,Not Rated,South East London Community Health Study (SELCoH),4.76,
51.16,4b59ff6f-2830-4f2b-b35a-623ef4520eb8,50.79,41.27,33.33,1.1.7,33.95,6c4ed998-0f05-415c-a3e4-42430bb62d24,Not Rated,Not Rated,Systemic Anti-Cancer Therapy Dataset (SACT),19.05,
13.95,4b6d3344-e73a-4f46-8e9d-fabb85827772,15.87,91.27,98.41,1.1.7,89.45,c74a9b9e-1fea-4aac-99fd-54e30668e085,Gold,Gold,Daily Situation Report Data,92.86,ALLIANCE > SAIL
53.49,4b79bce2-6d1c-448b-969e-56b424f3d57a,55.56,38.88,33.33,1.1.7,32.78,a9ac99fe-32be-40ef-9509-03e6b2713ddf,Not Rated,Not Rated,National Early Inflammatory Arthritis Audit - organisational survey dataset,19.05,
53.49,4bf36706-8176-4525-a3f4-3b96f68e48de,55.56,38.88,33.33,1.1.7,32.78,8d3f3e58-be79-4450-b2e3-f5ab8a25fb0e,Not Rated,Not Rated,HES Outpatient data for CPRD Aurum,19.05,
46.51,4c171540-5caa-42f7-868d-1d4d7b969f11,46.03,29.36,4.76,1.1.7,29.12,1a02bc11-a378-4f9e-82f9-c52674b388bd,Not Rated,Not Rated,Assessment of ASHA’s workload and its determinants,4.76,
18.6,4cb9082f-619d-4be2-8d09-641f2c573d38,19.05,68.25,55.56,1.1.7,72.84,2581994d-5be2-4465-bb62-60c4c97e8e2b,Bronze,Bronze,"Prevention, detection, treatment: adult lung disease/cancer in rural Tamil Nadu",64.29,HUB > BREATHE
16.28,4cde083a-bf5a-4f57-97c6-38632e10050d,15.87,72.22,60.32,1.1.7,76.38,264a1987-a8cb-4a83-81e0-70b4c3893b7d,Silver,Bronze,Obesity Research Biobank Syndicate (ORBiS),69.05,ALLIANCE > TISSUE DIRECTORY
32.56,4d0c3779-9251-4a4a-9eff-41a47869157f,33.33,45.24,23.81,1.1.7,48.0,306274ee-a098-43cc-b113-2df8116a8703,Not Rated,Not Rated,National Oesophago-Gastric Cancer Audit - clinical dataset,28.57,ALLIANCE > HQIP
32.56,4d1271dd-b256-454b-9b13-be38bef73f15,33.33,45.24,23.81,1.1.7,48.0,4ca76471-6970-4ad4-87c7-fae77a98cbf5,Not Rated,Not Rated,Paediatric Intensive Care Audit Network - core dataset (admission),28.57,ALLIANCE > HQIP
55.81,4d560a49-6ab2-460c-980f-94d76d1527f2,60.32,36.5,33.33,1.1.7,31.62,c388676c-a5e5-419c-967c-239c1f0c3c5c,Not Rated,Not Rated,NIHR BioResource: SNP chip data,19.05,
16.28,4dd3f23c-44be-4126-aac5-ba655d07855c,15.87,72.22,60.32,1.1.7,76.38,c6e0e70e-7f23-4a44-a2cf-1d7d87be7808,Silver,Bronze,POUT-T,69.05,ALLIANCE > TISSUE DIRECTORY
53.49,4eb62568-e89c-4d85-af0e-095e1e5b8a36,55.56,38.88,33.33,1.1.7,32.78,1d35e229-13eb-4be1-9dae-4752b6c27c4a,Not Rated,Not Rated,Death Registration data for CPRD GOLD,19.05,
55.81,4ee43bb7-54a1-40a9-9a2a-4f07cd5b1920,60.32,36.5,33.33,1.1.7,31.62,d4362d41-0838-4f41-bba3-c3268312c444,Not Rated,Not Rated,Hospital Episode Statistics Outpatients,19.05,
46.51,4f3fff58-7c32-4879-8ac2-f3c7641fbb85,46.03,29.36,4.76,1.1.7,29.12,3b5907da-256d-49a3-b24b-00893afe8bdd,Not Rated,Not Rated,National Audit of Dementia Round 4 - carer experience survey,4.76,
34.88,501b0226-1cbf-4717-8dee-adf189dd0088,34.92,44.45,23.81,1.1.7,46.84,11deee42-5876-4ebe-acca-e996702e1343,Not Rated,Not Rated,"Maternal, Newborn and Infant Clinical Outcome Review Programme - perinatal surveillance dataset",28.57,ALLIANCE > HQIP
34.88,50609a73-30a0-46ca-847d-4a9c1bfec5fc,34.92,44.45,23.81,1.1.7,46.84,3558f8a1-6d52-4b59-b513-51c068095bc2,Not Rated,Not Rated,National Cardiac Audit Programme - Myocardial Ischaemia National Audit Project (MINAP),28.57,ALLIANCE > HQIP
46.51,51221591-a4d4-4b9f-a220-b72d860d99fd,46.03,29.36,4.76,1.1.7,29.12,ef6e68d6-dcba-410c-943c-26ca21376a3a,Not Rated,Not Rated,National Audit of Dementia Round 4 - staff questionnaire,4.76,
51.16,51ad73b3-dd3e-44ad-b941-0d5d12bcb0cd,50.79,41.27,33.33,1.1.7,33.95,cfdafacb-48f0-4ad8-9f20-193a5eec2da4,Not Rated,Not Rated,Looked After Children Wales (LACW),19.05,
39.53,5271131b-ba5b-452d-b230-077094a031c2,38.1,38.88,15.87,1.1.7,39.76,621dd611-adcf-4434-b538-eecdbe5f72cf,Not Rated,Not Rated,ARIA Dataset,19.05,ALLIANCE > BARTS HEALTH
46.51,52db3903-e6c1-4f03-b6ee-909967fe3d16,46.03,29.36,4.76,1.1.7,29.12,beeee4fb-55ab-41b0-9287-33f008e9d6bf,Not Rated,Not Rated,Respiratory rate counters in paediatric pneumonia diagnosis,4.76,
20.93,535a0983-6618-4211-a939-ae2edfe26f9a,26.98,84.92,96.83,1.1.7,85.97,de9cf0f5-b26a-4363-9df8-3628a4aa6b6e,Silver,Silver,North West London Adult Social Care Data (NWL ASC),92.86,HUB > DISCOVER NOW
58.14,53846ac7-61b7-4403-8556-c319d04b546d,65.08,34.12,33.33,1.1.7,30.45,e600dae2-a83c-4b7a-8d23-af4ac31ca374,Not Rated,Not Rated,National Records of Scotland (NRS) - Deaths Data,19.05,
25.58,53b7c446-667b-409e-920e-67cb516de3ae,25.4,78.57,82.54,1.1.7,74.12,cacba424-6c2c-4b57-8f5b-64e92a78370a,Bronze,Silver,Ventilatory strategies and outcomes for patients with COVID: a dataset in OMOP,73.81,HUB > PIONEER
53.49,53dbbca0-b57d-4f93-8f05-37f626f9a7bc,55.56,38.88,33.33,1.1.7,32.78,1c49a822-6432-468b-8ba5-6aab534654b9,Not Rated,Not Rated,Scottish Medical Imaging (SMI) Research Dataset,19.05,
51.16,542bf16f-baea-4fca-be51-fcef9732494a,50.79,41.27,33.33,1.1.7,33.95,b32325d7-7f00-4d20-9935-dd02e1bc6932,Not Rated,Not Rated,Cervical Screening Wales (SCSW),19.05,
16.28,54a7dd45-d6c7-4b4d-801d-2becd2b694f1,15.87,72.22,60.32,1.1.7,76.38,f13258c3-f85a-4772-b42e-da8a84c5064a,Silver,Bronze,Epilepsy Society Brain and Tissue Bank,69.05,ALLIANCE > TISSUE DIRECTORY
46.51,55b311a8-7162-410c-8cf7-eef1ac9ff544,46.03,29.36,4.76,1.1.7,29.12,ffdf167b-f3a3-4d78-a228-2865aea90509,Not Rated,Not Rated,IBD Registry COVID-19,4.76,
16.28,567b23fe-abf2-4e2e-88f7-505dfeaa3cde,15.87,72.22,60.32,1.1.7,76.38,c0318a31-a32c-4d3a-9591-dfe9352bf2b9,Silver,Bronze,LBIH Biobank,69.05,ALLIANCE > TISSUE DIRECTORY
46.51,567b5d24-07df-4430-8466-4444ecbe86c8,46.03,29.36,4.76,1.1.7,29.12,2f36b7b3-e50f-459f-a691-f62dde65e2bd,Not Rated,Not Rated,Assessing the feasibility and effectiveness of introducing pulse oximetry,4.76,
18.6,56f3e791-a204-4f67-a4d0-52803148d71a,17.46,71.43,60.32,1.1.7,75.22,5f4c825d-d6c3-453e-9667-8cdf2329b6e1,Bronze,Bronze,TNT: Triple Negative breast cancer Trial,69.05,ALLIANCE > TISSUE DIRECTORY
46.51,5727d014-0c5c-4dcb-89c9-ff33e1b680bb,46.03,29.36,4.76,1.1.7,29.12,cd20517c-2f75-40e9-9ee8-563d32624b55,Not Rated,Not Rated,Wellcome Sanger Institute: Whole Exome Sequencing,4.76,
53.49,57458394-945e-4e6a-abc7-91df0f44cb60,55.56,38.88,33.33,1.1.7,32.78,18bfe765-5733-41f3-8114-0a1ec2524b5b,Not Rated,Not Rated,NIHR IBD BioResource: Health and Lifestyle Questionnaire,19.05,
25.58,575514e3-6e8f-4218-bd75-ff32742abc52,31.75,76.19,84.13,1.1.7,76.5,e253257c-48c2-491b-b3b9-205161a16a7e,Silver,Silver,Coronavirus and the social impacts on Great Britain,78.57,NCS > OFFICE FOR NATIONAL STATISTICS
16.28,57726e95-afe2-4d62-ab1e-81d90eb0ec1d,17.46,91.27,100.0,1.1.7,89.48,f5f6d882-163d-4ef1-a53e-000fba409480,Gold,Gold,COVID-19 Test results,95.24,ALLIANCE > SAIL
55.81,57a2febd-6ff7-402b-9503-b362d476257f,60.32,36.5,33.33,1.1.7,31.62,d1490c18-b6a0-46a2-915f-d7145f02e36f,Not Rated,Not Rated,CPRD Aurum ICNARC,19.05,
51.16,580b029e-4cce-44db-9c76-f8530cf599db,50.79,41.27,33.33,1.1.7,33.95,9c535c8d-ebac-4212-b602-fc2489df2c92,Not Rated,Not Rated,National Radiotherapy Dataset (RTDS) for CPRD Aurum,19.05,
46.51,590e7bb7-a6e3-4f87-af2f-e46943f98ce9,46.03,29.36,4.76,1.1.7,29.12,e0d00cb7-62e1-4a38-8df6-cf537b59228d,Not Rated,Not Rated,Exploration of Pneumonia Related Policy Formation and Implementation in Pakistan,4.76,
46.51,598ab9d9-04a3-4628-be64-d8f026d266ac,46.03,29.36,4.76,1.1.7,29.12,cf9bc775-1db7-44e4-9a16-317d5bb063a2,Not Rated,Not Rated,Computational Framework to Interpret Chest X-rays and Diagnose Pneumonia,4.76,
46.51,59f5b724-234f-401d-a8f5-df35ea9ecdc9,46.03,29.36,4.76,1.1.7,29.12,ac7016ce-f7a9-4c71-bebb-6af6efa27844,Not Rated,Not Rated,National Cardiac Audit Programme - Percutaneous Coronary Interventions (PCI),4.76,
53.49,5a108169-4afd-4e02-908b-c65bddc3bd2e,55.56,38.88,33.33,1.1.7,32.78,2439a88e-d961-4152-a7b5-042097946209,Not Rated,Not Rated,HES Patient Reported Outcomes Measures (PROMs) data for CPRD GOLD,19.05,
46.51,5a6009f8-c74a-4e72-b2a1-83be100f7841,46.03,29.36,4.76,1.1.7,29.12,5f37e3c2-b5ac-43eb-8eba-ac94dbbff103,Not Rated,Not Rated,National Cardiac Audit Programme - National Adult Cardiac Surgery Audit (NACSA),4.76,
53.49,5ad2e0c9-f0ba-4947-90f7-b19431080f83,55.56,38.88,33.33,1.1.7,32.78,b8d009d0-0163-4aaf-8bd6-ad363c859862,Not Rated,Not Rated,National Joint Registry - Primary Ankle Replacement dataset,19.05,
51.16,5b456d15-cb68-4944-839c-c25a2986e572,50.79,41.27,33.33,1.1.7,33.95,597524d4-038e-4fc2-aff9-1c9b87d3e16c,Not Rated,Not Rated,Longitudinal C-reactive protein concentrations in COVID-19: an OMOP dataset,19.05,
20.93,5b9b7964-615b-438a-b151-d2f884a24aee,26.98,84.92,96.83,1.1.7,85.97,721db252-8069-433d-bb6d-4b44b243d364,Silver,Silver,North West London Accident and Emergency Data (NWL A&E),92.86,HUB > DISCOVER NOW
16.28,5bb40472-fc5d-4b16-a0a6-d1d42fd1d3e8,15.87,72.22,60.32,1.1.7,76.38,e57dd7a2-3c5c-4285-8001-8e2589c395e9,Silver,Bronze,VinCaP,69.05,ALLIANCE > TISSUE DIRECTORY
53.49,5c2cd37f-a930-4e92-85a4-76394838ce90,55.56,38.88,33.33,1.1.7,32.78,e2f5d637-94b3-447b-b7eb-ea957ce449b6,Not Rated,Not Rated,Cancer registration data for CPRD GOLD,19.05,
30.23,5c7ae78d-53e6-427d-a3a9-52538f8342dc,31.75,55.55,42.86,1.1.7,61.08,9711e6cc-426c-4cef-afb3-64382f8d7ed4,Not Rated,Not Rated,International Severe Asthma Registry,52.38,HUB > BREATHE
55.81,5ca0f47a-307f-448e-911c-24e01c79120f,60.32,36.5,33.33,1.1.7,31.62,48627b2d-f247-4921-9ee1-6c37adfff10d,Not Rated,Not Rated,Mental Health Dataset (MHDS) for CPRD Aurum,19.05,
53.49,5cd5a6a1-f7a2-4d83-a3e3-423495c3a281,55.56,38.88,33.33,1.1.7,32.78,17056e83-ee5a-4fe7-86e1-f09563256be1,Not Rated,Not Rated,Education Daily Attendance Dataset (EDAD),19.05,
53.49,5ce6905a-8b54-4d6c-9da6-e2d57ce45419,55.56,38.88,33.33,1.1.7,32.78,e508951d-e118-4217-84a4-722e50fdd400,Not Rated,Not Rated,National Waiting List Diagnostics,19.05,
53.49,5cf49b5c-bb8d-4ab2-90ce-74d801f7c090,55.56,38.88,33.33,1.1.7,32.78,32edd77d-533c-423f-b045-937507f8505d,Not Rated,Not Rated,Renal Register – ISD National dataset,19.05,
51.16,5d577e70-2b9b-4286-81f3-824978dc3069,50.79,41.27,33.33,1.1.7,33.95,2ec8d8e3-35bc-4304-83e8-3afed4438cd5,Not Rated,Not Rated,Moorfields Ophthalmic Prescription 004,19.05,
55.81,5de9d313-fb9f-4dbf-a959-1329062eb1ef,60.32,36.5,33.33,1.1.7,31.62,4b8675d3-dd87-4cca-804c-aaf0e4ff8140,Not Rated,Not Rated,NIHR BioResource: Case report form,19.05,
37.21,5e022f8f-4d07-44bb-a87c-43e31200fe1e,36.51,38.89,14.29,1.1.7,39.73,59d72237-6969-4f59-9e87-48138978abe8,Not Rated,Not Rated,ARIA Radonc,16.67,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST
53.49,5e044863-b792-4256-aa45-3235a6546e39,55.56,38.88,33.33,1.1.7,32.78,03280e87-6975-4a2a-967d-b332cb788e44,Not Rated,Not Rated,National Joint Registry - Primary Hip Replacement dataset,19.05,
18.6,5e19a471-64e3-4aa4-ac56-6901d5e39e28,25.4,85.72,96.83,1.1.7,87.13,2d3ec99a-a087-4355-8539-5a22cef58910,Gold,Silver,North West London Mental Health Data (NWL MH),92.86,HUB > DISCOVER NOW
16.28,5e2a7277-dc64-499a-b16d-51850d9ad00b,20.63,89.69,100.0,1.1.7,89.48,fa257aa8-51fc-4eb7-a448-e473fa54686d,Gold,Gold,Emergency Department Dataset Daily,95.24,ALLIANCE > SAIL
53.49,5e442584-9acd-4e8d-9448-5f8f2b937d56,55.56,38.88,33.33,1.1.7,32.78,10ffac16-d0c2-4d53-ab6a-69a38e283223,Not Rated,Not Rated,NHS Tayside and Fife Biochemistry (Lab Data Restructured),19.05,
51.16,5e9d4a4b-544c-4739-b079-62f353086fde,50.79,41.27,33.33,1.1.7,33.95,bf392537-82b4-4d71-ace0-e7bea3b167fb,Not Rated,Not Rated,Moorfields AMD Dataset Release 002,19.05,
51.16,5e9fba37-017b-4481-bc69-75ef1e005c2f,50.79,41.27,33.33,1.1.7,33.95,20fe153c-a5e5-4991-900e-8fa9988e771a,Not Rated,Not Rated,National Community Child Health Database (NCCHD),19.05,
53.49,5ef3573a-274a-41e1-8f64-9330109d59d1,55.56,38.88,33.33,1.1.7,32.78,0a852454-ee67-443b-a091-d13499a71b41,Not Rated,Not Rated,National Cancer Registration and Analysis Service,19.05,
55.81,5fdfa652-eda8-4709-89e0-02d8412851d4,60.32,36.5,33.33,1.1.7,31.62,628e9ad9-28c5-4d58-9ec5-04a63be9b4cf,Not Rated,Not Rated,Covid-19 Infection Survey,19.05,
20.93,601f1504-2706-405b-94cb-8cd14231f434,26.98,86.51,100.0,1.1.7,87.16,1032850f-7631-4d9e-a760-b0532bffd21a,Gold,Gold,North West London population data (NWL POP),95.24,HUB > DISCOVER NOW
51.16,602dc3ef-8c76-4ad4-941b-0a39e50481e7,50.79,41.27,33.33,1.1.7,33.95,108ba1b0-994d-449c-b192-2331698e477d,Not Rated,Not Rated,"Investigating the impact of frailty, age and illness severity during COVID-19",19.05,
16.28,60b148f7-b48c-49c4-9286-b83691cfc7b2,15.87,72.22,60.32,1.1.7,76.38,71eb0192-1124-4b27-86e4-1139e0047a02,Silver,Bronze,STAMPEDE,69.05,ALLIANCE > TISSUE DIRECTORY
53.49,61b34cfb-041b-46a3-801d-1932b92795b9,55.56,38.88,33.33,1.1.7,32.78,3858647c-5161-45dc-ba49-66a4fc4499c2,Not Rated,Not Rated,Weekly SUS Inpatient Dataset,19.05,
53.49,61df41f6-6d91-4144-b29d-489dd73c48a1,55.56,38.88,33.33,1.1.7,32.78,fa9c25eb-1ce0-4f44-b6a6-46ec8caeef40,Not Rated,Not Rated,COVID-19 Wastewater data,19.05,
53.49,62663e36-f8cb-4ca0-9fdf-bca1023726d3,55.56,38.88,33.33,1.1.7,32.78,ed2de8fe-a204-4a4e-bcfa-9e3ad85e2fee,Not Rated,Not Rated,HES Admitted Patient Care data for CPRD Aurum,19.05,
