weighted_quality_rating,title,quality_score,id,completeness_percent,weighted_error_percent,weighted_quality_score,publisher,schema_version,weighted_completeness_percent,quality_rating,pid,error_percent
Bronze,IBD NIHR BioResource: SNP imputation data,72.84,3bb25cba-b4dc-47f1-ab5e-b63f89500612,64.29,19.05,69.05,HUB > GUT REACTION,1.1.7,57.14,Bronze,7dee2bd6-733a-4b2e-a942-7f9eaf8ebbc2,18.6
Not Rated,Active Adult Survey Dataset (AASD),32.78,3c14d319-4ff5-42ff-b440-400f099f9b13,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,1eb67fd5-33f6-49dd-a43d-854fff9f25f5,53.49
Bronze,Tissue Solutions Ltd,76.42,3c23941a-42a7-4940-b32f-aea743c0dc2a,71.43,17.46,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,61.9,Silver,bbcdc352-e0f7-4672-93a7-134bcf5001b1,18.6
Not Rated,Postponed Admitted Procedures (CAPD),32.78,3c870bf2-acfb-44d1-8437-06ebb3c0993c,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,bff94600-a254-4111-82f7-6167084d81ca,53.49
Not Rated,Vaccine Adverse Reactions data for QResearch,31.62,3c899660-32e3-4acc-9583-9d8251bd6f80,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,9ad92ce4-7410-4edc-a5ac-2c0c64915f4c,55.81
Gold,North West London Outpatient Care Data (NWL OP),87.13,3d51dc99-c44f-44ff-bdab-da205c5e394e,92.86,22.22,87.31,HUB > DISCOVER NOW,1.1.7,96.83,Gold,9f1df859-f1d0-4f1e-959e-affd05138a25,18.6
Bronze,Ethical Tissue - University of Bradford,76.38,3db58c78-fc8b-49b2-a847-b43fd0184500,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,fdf9ac68-fc89-4adf-9a73-3a94a9974aef,16.28
Not Rated,Diagnostic Imaging Dataset,31.62,3e4d27e2-baa8-4bb5-a711-d0b36f1f278c,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,86f46be3-bc29-4820-8363-de6530a94c6f,55.81
Not Rated,CPRD GOLD ICNARC,31.62,3e923281-bfde-48a8-86fd-73e429cce811,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,0e47bbf0-0d60-4c7c-85a5-543957635471,55.81
Not Rated,Higher Education Statistics Agency (HESA),29.12,3ed8d3fe-92a3-43bc-9fba-274fb34847af,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,36f54a48-6f0a-4827-a86b-fd677a22a88f,46.51
Not Rated,mHealth for pneumonia prevention,29.12,3ee4c2af-ff04-4dcf-830e-420e0a21a6d2,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,fc66381e-cc46-4bca-85fc-fc2ee09cc5dd,46.51
Bronze,Multiple Sclerosis and Parkinson's Tissue Bank,76.38,3f00330d-1f45-4cab-86c2-e91b7c1a59e9,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,4684d391-a6a7-44f7-bf4b-62b6b693f9fa,16.28
Not Rated,Outpatient Appointment Dataset,31.62,3f6962d8-1f4c-49b0-80a8-e491d5205827,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,1c27bfbf-c659-42ff-8afe-d58250b49c07,55.81
Silver,Barts Health NHS Trust COVID-19 EHR Extracted Dataset,75.33,3fbef1ac-fa6d-4c72-836d-3a8d8a0f7b08,78.57,26.98,79.36,ALLIANCE > BARTS HEALTH,1.1.7,85.71,Bronze,d6e8163f-2ab8-4880-bbb6-a174b4a95632,27.91
Silver,The impact of ethnicity and multi-morbidity on C19 hospitalised outcomes,75.33,3fc555e1-3e36-46dc-bef1-2d94d560bcb2,78.57,30.16,77.78,HUB > PIONEER,1.1.7,85.71,Bronze,cfa1ef13-8ae0-4827-8a0f-9d2df5244725,27.91
Not Rated,National Paediatric Diabetes Audit - survey of workforce in PDUs,32.78,3fcdcced-e16a-4f04-a521-ffe1047f37cb,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,fe8f8e2c-2f77-464d-9d45-a601cb2f8bf9,53.49
Gold,Cafcass Wales,90.64,3fceb952-0b21-40f4-bd69-fa5cd7ad7df9,95.24,15.87,92.06,ALLIANCE > SAIL,1.1.7,100.0,Gold,29a714e1-5289-4362-be24-2848c954344e,13.95
Not Rated,Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,29.12,3fd2760d-ab12-48ee-8b32-b229aead60a4,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,56130df6-1880-4600-a7a4-afa9a4bcc895,46.51
Not Rated,Endobase,39.73,40573895-497b-4d47-90e1-6aafe70b93f6,16.67,36.51,38.89,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST,1.1.7,14.29,Not Rated,e830b2a5-14d6-4643-a206-619bf5372dc8,37.21
Bronze,Domiciliary Social Care Worker [DSCW],72.93,41a667eb-1c84-4665-b0d4-d26405d277c5,71.43,26.98,75.4,ALLIANCE > SAIL,1.1.7,77.78,Bronze,0e38bbf4-c788-4a1a-9af8-a24821250154,25.58
Bronze,Care-seeking practices for childhood pneumonia in non/tribal areas of Pune India,74.0,41ac5dfd-7b23-4f1b-a91e-03e8186e4ab8,64.29,17.46,69.05,HUB > BREATHE,1.1.7,55.56,Bronze,4346676d-6108-47de-b579-6cef74c6acef,16.28
Silver,Quality of Life of Colorectal Cancer Survivors: Patient Reported Outcomes (Aurum,76.52,41ce265a-c252-45c4-9b80-d764b0737f38,80.95,30.16,79.37,ALLIANCE > CPRD,1.1.7,88.89,Silver,bfb90d2b-746d-44a6-a896-4979d73d9276,27.91
Not Rated,Death Registration Data - Finalised Extracts,32.78,41f6dfe9-d5e2-4641-9953-1589c7d35e07,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,fdfa5116-4f44-457d-99ef-e8c1852aa858,53.49
Not Rated,National Asthma and COPD Audit (NACAP): secondary care  – CYP asthma (clinical),32.78,425e39b4-cc2b-4a15-851a-a0093ef1e1f8,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,33b36393-3760-40d8-bb98-61806fea5398,53.49
Bronze,Mental Health and Learning Disabilities Data Set,61.19,4262e057-6978-4e4c-a05d-c4f328422090,61.9,39.68,67.46,ALLIANCE > NHS DIGITAL,1.1.7,74.6,Not Rated,e9b43936-e700-40c9-8b32-57ed44583f3d,39.53
Silver,Cystic Fibrosis Patient Microbiology Cultures,87.16,42ac7c27-a37b-4081-8a33-51ac077e6a4e,95.24,30.16,84.92,ALLIANCE > CYSTIC FIBROSIS TRUST,1.1.7,100.0,Gold,9c1727f6-2032-413f-bf60-470769b2616e,20.93
Not Rated,Pathology - PATH,32.78,42e4299f-1e06-4e24-ab40-b71949f5cba3,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,48ef8f54-9606-4e6f-9256-3cc07ffd10b8,53.49
Not Rated,Covid-19 Infection Survey linked with VOA and EPC data,32.78,4330b6ee-f333-4cd8-90b9-0f43f7cb0b67,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,2193ad56-6671-4ecc-9ecf-6da84e23e9fd,53.49
Gold,Welsh Ambulance Services NHS Trust,89.45,45499ef9-daca-4a88-8493-c3c1a92960d0,92.86,15.87,91.27,ALLIANCE > SAIL,1.1.7,98.41,Gold,d415a5c5-8432-4a81-937f-12135ade6de7,13.95
Bronze,Asthma and COPD: practices and perceptions of GPs in rural India,76.38,458d7f2d-9ba8-4593-862c-14160692d494,69.05,17.46,70.63,HUB > BREATHE,1.1.7,58.73,Silver,c15bc3ad-c053-496b-863f-1d54075d5bd4,16.28
Not Rated,Public Health Research Database (PHRD),32.78,459387f3-c484-441d-9abb-b6ee22df86d2,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,a325f33e-bac8-49af-896f-1e025941dae8,53.49
Not Rated,Mental Health Minimum Dataset v4 (Sensitive) Events,60.05,46493a09-b3bb-4c0e-b944-82665ee21508,64.29,49.21,64.28,ALLIANCE > NHS DIGITAL,1.1.7,77.78,Not Rated,9c31a2bd-ff3a-4379-a4b8-0b90527a4c38,44.19
Not Rated,National Paediatric Diabetes Audit - Spotlight survey of workforce in Paediatric Diabetes Units,46.84,46762bdc-42f9-4c92-92fe-9c757083ad33,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,fe8f8e2c-2f77-464d-9d45-a601cb2f8bf9,34.88
Gold,Maternity Indicators Dataset,90.64,46e30817-b19e-40f2-9b06-9611b2985148,95.24,15.87,92.06,ALLIANCE > SAIL,1.1.7,100.0,Gold,a0c27454-8cbe-418f-bdae-a85d5e92e9d4,13.95
Not Rated,Developing and Evaluating Interventions to Improve Asthma Care,29.12,46f6e0d3-412e-4799-8683-1ca649b99eec,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,d57d7956-d13e-49c4-bb31-889b8e560596,46.51
Not Rated,Sentinel Stroke National Audit Programme Acute Organisational survey dataset,48.0,4710222c-9830-4ae4-8be6-b25c723812e1,28.57,33.33,45.24,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,fe6a4c83-f46f-4f61-8460-e120fdf8d864,32.56
Bronze,Tayside Biorepository,76.38,47d22aea-cbe9-47d4-8f65-45861d9c5f6f,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,6ac9b356-00f1-49da-825a-6eb04d18e49d,16.28
Not Rated,NIHR IBD BioResource: Consent records,32.78,47e26b2b-8be1-4595-a327-a9f00e0d4712,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,44ca2cf8-679e-447c-a9eb-55b32159679a,53.49
Bronze,"St Thomas' Hospitals Plasma, serum & DNA Bio bank from patients with antiphospholipid antibodies",75.25,47f57de8-aa71-4df1-af4a-a81e37d4ae8c,71.43,19.05,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,63.49,Bronze,425f4534-51c4-4f75-8ca0-d7c731dbd903,20.93
Gold,North West London Primary Care Prescriptions Data (NWL PCP),87.13,48182af6-2ccd-44b2-92d5-69cc140e7d67,92.86,22.22,87.31,HUB > DISCOVER NOW,1.1.7,96.83,Gold,0fb33df6-ab36-4170-9fad-1eaf35a3a812,18.6
Not Rated,A granular assessment of the day-to-day variation in emergency presentations,33.95,483be944-b3ea-4037-b22b-4e9ffca3e613,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,ef850406-2993-43ec-80b9-ef504734f2ac,51.16
Not Rated,National Vascular Registry - Organisational Audit dataset,32.78,483f49ea-07b3-4efb-8bad-0d9af5ed5f0f,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,3c661240-e4d2-456c-a809-133c23f9c469,53.49
Not Rated,Falls and Fragility Fracture Audit Programme National Audit of Inpatient Falls clinical dataset,46.84,489cb34a-f20d-4fe0-849a-db85f00141f5,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,3c19e2c9-96d5-45f3-9c55-fc3cec762cd7,34.88
Not Rated,NIHR BioResource: Sample holding,32.78,48deb24e-7a15-48d7-ba2c-c477ae61b55d,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,56993820-96e4-4a1f-9de1-bad53108c201,53.49
Not Rated,"National Audit of Dementia - spotlight audit on the prescription of psychotropic medication, 2019",46.84,491cc634-05e8-48fe-9018-ffb9e7eed84e,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,949d9d7a-a3f1-480a-8563-3fb024300561,34.88
Not Rated,Cancer registration data for CPRD Aurum,32.78,4a4f5d83-e8fb-4249-9275-2a42d9f76c53,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,3f3df3be-05a8-42b2-89d9-f731deb7ea66,53.49
Not Rated,Tayside & Fife Radiology,32.78,4abe1436-3a14-4779-aa03-28929e817411,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,af10ec29-1866-4726-b33f-3948afe182f2,53.49
Not Rated,Epilepsy 12 - National organisational audit (service descriptor questionnaire) and Trust profile,46.84,4b2fbd88-71c7-4572-99ea-5987a72a0c1a,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,2c737d63-69f4-4a02-8df9-54c1e65e845f,34.88
Not Rated,South East London Community Health Study (SELCoH),29.12,4b3d70f4-ce62-478b-9ada-0419850d17af,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,cda770e3-0d4d-466f-8102-c56beff04848,46.51
Not Rated,Systemic Anti-Cancer Therapy Dataset (SACT),33.95,4b59ff6f-2830-4f2b-b35a-623ef4520eb8,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,6c4ed998-0f05-415c-a3e4-42430bb62d24,51.16
Gold,Daily Situation Report Data,89.45,4b6d3344-e73a-4f46-8e9d-fabb85827772,92.86,15.87,91.27,ALLIANCE > SAIL,1.1.7,98.41,Gold,c74a9b9e-1fea-4aac-99fd-54e30668e085,13.95
Not Rated,National Early Inflammatory Arthritis Audit - organisational survey dataset,32.78,4b79bce2-6d1c-448b-969e-56b424f3d57a,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,a9ac99fe-32be-40ef-9509-03e6b2713ddf,53.49
Not Rated,HES Outpatient data for CPRD Aurum,32.78,4bf36706-8176-4525-a3f4-3b96f68e48de,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,8d3f3e58-be79-4450-b2e3-f5ab8a25fb0e,53.49
Not Rated,Assessment of ASHA’s workload and its determinants,29.12,4c171540-5caa-42f7-868d-1d4d7b969f11,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,1a02bc11-a378-4f9e-82f9-c52674b388bd,46.51
Bronze,"Prevention, detection, treatment: adult lung disease/cancer in rural Tamil Nadu",72.84,4cb9082f-619d-4be2-8d09-641f2c573d38,64.29,19.05,68.25,HUB > BREATHE,1.1.7,55.56,Bronze,2581994d-5be2-4465-bb62-60c4c97e8e2b,18.6
Bronze,Obesity Research Biobank Syndicate (ORBiS),76.38,4cde083a-bf5a-4f57-97c6-38632e10050d,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,264a1987-a8cb-4a83-81e0-70b4c3893b7d,16.28
Not Rated,National Oesophago-Gastric Cancer Audit - clinical dataset,48.0,4d0c3779-9251-4a4a-9eff-41a47869157f,28.57,33.33,45.24,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,306274ee-a098-43cc-b113-2df8116a8703,32.56
Not Rated,Paediatric Intensive Care Audit Network - core dataset (admission),48.0,4d1271dd-b256-454b-9b13-be38bef73f15,28.57,33.33,45.24,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,4ca76471-6970-4ad4-87c7-fae77a98cbf5,32.56
Not Rated,NIHR BioResource: SNP chip data,31.62,4d560a49-6ab2-460c-980f-94d76d1527f2,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,c388676c-a5e5-419c-967c-239c1f0c3c5c,55.81
Bronze,POUT-T,76.38,4dd3f23c-44be-4126-aac5-ba655d07855c,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,c6e0e70e-7f23-4a44-a2cf-1d7d87be7808,16.28
Not Rated,Death Registration data for CPRD GOLD,32.78,4eb62568-e89c-4d85-af0e-095e1e5b8a36,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,1d35e229-13eb-4be1-9dae-4752b6c27c4a,53.49
Not Rated,"Longitudinal hospital prescribing data for >48,000 deeply phenotyped patients",33.95,4f32f054-0183-4515-8c18-00cd7a5a63af,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,6c8894f0-3675-4e65-baa8-88ce539b3fd1,51.16
Not Rated,QResearch®,33.95,4f385ff8-109c-4e7e-ad09-ee0021864989,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,777d6ac1-6879-4750-9a85-9e42d28bb8d4,51.16
Not Rated,Trusted Research Environments for CVD-COVID-UK / COVID-IMPACT,29.12,4f38a842-d30b-41db-9a6e-cd271f8a3392,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,7e5f0247-f033-4f98-aed3-3d7422b9dc6d,46.51
Not Rated,National Audit of Dementia Round 4 - carer experience survey,29.12,4f3fff58-7c32-4879-8ac2-f3c7641fbb85,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,3b5907da-256d-49a3-b24b-00893afe8bdd,46.51
Not Rated,"Maternal, Newborn and Infant Clinical Outcome Review Programme - perinatal surveillance dataset",46.84,501b0226-1cbf-4717-8dee-adf189dd0088,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,11deee42-5876-4ebe-acca-e996702e1343,34.88
Not Rated,National Cardiac Audit Programme - Myocardial Ischaemia National Audit Project (MINAP),46.84,50609a73-30a0-46ca-847d-4a9c1bfec5fc,28.57,34.92,44.45,ALLIANCE > HQIP,1.1.7,23.81,Not Rated,3558f8a1-6d52-4b59-b513-51c068095bc2,34.88
Not Rated,National Audit of Dementia Round 4 - staff questionnaire,29.12,51221591-a4d4-4b9f-a220-b72d860d99fd,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,ef6e68d6-dcba-410c-943c-26ca21376a3a,46.51
Not Rated,Looked After Children Wales (LACW),33.95,51ad73b3-dd3e-44ad-b941-0d5d12bcb0cd,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,cfdafacb-48f0-4ad8-9f20-193a5eec2da4,51.16
Not Rated,The Airwave Health Monitoring Study,31.62,51f9de9e-5fcd-4629-bdfc-7719359a7ec6,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,98bfe17f-be12-47b1-943a-2d3a621b7618,55.81
Not Rated,ARIA Dataset,39.76,5271131b-ba5b-452d-b230-077094a031c2,19.05,38.1,38.88,ALLIANCE > BARTS HEALTH,1.1.7,15.87,Not Rated,621dd611-adcf-4434-b538-eecdbe5f72cf,39.53
Not Rated,Respiratory rate counters in paediatric pneumonia diagnosis,29.12,52db3903-e6c1-4f03-b6ee-909967fe3d16,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,beeee4fb-55ab-41b0-9287-33f008e9d6bf,46.51
Not Rated,Scarred Liver,29.12,53099fb6-18ff-4edc-b76d-225dade94db3,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,17f80626-5adf-4777-9ccf-7f0cd107daa6,46.51
Silver,North West London Adult Social Care Data (NWL ASC),85.97,535a0983-6618-4211-a939-ae2edfe26f9a,92.86,26.98,84.92,HUB > DISCOVER NOW,1.1.7,96.83,Silver,de9cf0f5-b26a-4363-9df8-3628a4aa6b6e,20.93
Not Rated,National Records of Scotland (NRS) - Deaths Data,30.45,53846ac7-61b7-4403-8556-c319d04b546d,19.05,65.08,34.12,,1.1.7,33.33,Not Rated,e600dae2-a83c-4b7a-8d23-af4ac31ca374,58.14
Silver,Ventilatory strategies and outcomes for patients with COVID: a dataset in OMOP,74.12,53b7c446-667b-409e-920e-67cb516de3ae,73.81,25.4,78.57,HUB > PIONEER,1.1.7,82.54,Bronze,cacba424-6c2c-4b57-8f5b-64e92a78370a,25.58
Not Rated,Scottish Medical Imaging (SMI) Research Dataset,32.78,53dbbca0-b57d-4f93-8f05-37f626f9a7bc,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,1c49a822-6432-468b-8ba5-6aab534654b9,53.49
Not Rated,Cervical Screening Wales (SCSW),33.95,542bf16f-baea-4fca-be51-fcef9732494a,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,b32325d7-7f00-4d20-9935-dd02e1bc6932,51.16
Bronze,Epilepsy Society Brain and Tissue Bank,76.38,54a7dd45-d6c7-4b4d-801d-2becd2b694f1,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,f13258c3-f85a-4772-b42e-da8a84c5064a,16.28
Not Rated,HES Outpatients data for QResearch,32.78,555f609d-c48d-431a-98b4-fb4198b5ad79,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,8321071e-88ef-4d7e-8cf8-ab826c00096c,53.49
Not Rated,RTDS - Radiotherapy treatment data set for QResearch,30.45,5575bf81-2d52-40e3-b95a-7ba43d718965,19.05,65.08,34.12,,1.1.7,33.33,Not Rated,3a65467a-61a1-4801-ba73-1e062de75c85,58.14
Not Rated,IBD Registry COVID-19,29.12,55b311a8-7162-410c-8cf7-eef1ac9ff544,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,ffdf167b-f3a3-4d78-a228-2865aea90509,46.51
Bronze,LBIH Biobank,76.38,567b23fe-abf2-4e2e-88f7-505dfeaa3cde,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,c0318a31-a32c-4d3a-9591-dfe9352bf2b9,16.28
Not Rated,Assessing the feasibility and effectiveness of introducing pulse oximetry,29.12,567b5d24-07df-4430-8466-4444ecbe86c8,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,2f36b7b3-e50f-459f-a691-f62dde65e2bd,46.51
Bronze,TNT: Triple Negative breast cancer Trial,75.22,56f3e791-a204-4f67-a4d0-52803148d71a,69.05,17.46,71.43,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Bronze,5f4c825d-d6c3-453e-9667-8cdf2329b6e1,18.6
Not Rated,Wellcome Sanger Institute: Whole Exome Sequencing,29.12,5727d014-0c5c-4dcb-89c9-ff33e1b680bb,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,cd20517c-2f75-40e9-9ee8-563d32624b55,46.51
Not Rated,NIHR IBD BioResource: Health and Lifestyle Questionnaire,32.78,57458394-945e-4e6a-abc7-91df0f44cb60,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,18bfe765-5733-41f3-8114-0a1ec2524b5b,53.49
Silver,Coronavirus and the social impacts on Great Britain,76.5,575514e3-6e8f-4218-bd75-ff32742abc52,78.57,31.75,76.19,NCS > OFFICE FOR NATIONAL STATISTICS,1.1.7,84.13,Silver,e253257c-48c2-491b-b3b9-205161a16a7e,25.58
Gold,COVID-19 Test results,89.48,57726e95-afe2-4d62-ab1e-81d90eb0ec1d,95.24,17.46,91.27,ALLIANCE > SAIL,1.1.7,100.0,Gold,f5f6d882-163d-4ef1-a53e-000fba409480,16.28
Not Rated,CPRD Aurum ICNARC,31.62,57a2febd-6ff7-402b-9503-b362d476257f,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,d1490c18-b6a0-46a2-915f-d7145f02e36f,55.81
Not Rated,National Radiotherapy Dataset (RTDS) for CPRD Aurum,33.95,580b029e-4cce-44db-9c76-f8530cf599db,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,9c535c8d-ebac-4212-b602-fc2489df2c92,51.16
Not Rated,Daily Situation Report Data (DSRD),33.95,58c38549-7b97-427e-94b2-591d700e233b,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,c74a9b9e-1fea-4aac-99fd-54e30668e085,51.16
Not Rated,Exploration of Pneumonia Related Policy Formation and Implementation in Pakistan,29.12,590e7bb7-a6e3-4f87-af2f-e46943f98ce9,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,e0d00cb7-62e1-4a38-8df6-cf537b59228d,46.51
Not Rated,Computational Framework to Interpret Chest X-rays and Diagnose Pneumonia,29.12,598ab9d9-04a3-4628-be64-d8f026d266ac,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,cf9bc775-1db7-44e4-9a16-317d5bb063a2,46.51
Not Rated,National Cardiac Audit Programme - Percutaneous Coronary Interventions (PCI),29.12,59f5b724-234f-401d-a8f5-df35ea9ecdc9,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,ac7016ce-f7a9-4c71-bebb-6af6efa27844,46.51
Not Rated,HES Patient Reported Outcomes Measures (PROMs) data for CPRD GOLD,32.78,5a108169-4afd-4e02-908b-c65bddc3bd2e,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,2439a88e-d961-4152-a7b5-042097946209,53.49
Not Rated,National Cardiac Audit Programme - National Adult Cardiac Surgery Audit (NACSA),29.12,5a6009f8-c74a-4e72-b2a1-83be100f7841,4.76,46.03,29.36,,1.1.7,4.76,Not Rated,5f37e3c2-b5ac-43eb-8eba-ac94dbbff103,46.51
Not Rated,National Joint Registry - Primary Ankle Replacement dataset,32.78,5ad2e0c9-f0ba-4947-90f7-b19431080f83,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,b8d009d0-0163-4aaf-8bd6-ad363c859862,53.49
Not Rated,Longitudinal C-reactive protein concentrations in COVID-19: an OMOP dataset,33.95,5b456d15-cb68-4944-839c-c25a2986e572,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,597524d4-038e-4fc2-aff9-1c9b87d3e16c,51.16
Silver,North West London Accident and Emergency Data (NWL A&E),85.97,5b9b7964-615b-438a-b151-d2f884a24aee,92.86,26.98,84.92,HUB > DISCOVER NOW,1.1.7,96.83,Silver,721db252-8069-433d-bb6d-4b44b243d364,20.93
Bronze,VinCaP,76.38,5bb40472-fc5d-4b16-a0a6-d1d42fd1d3e8,69.05,15.87,72.22,ALLIANCE > TISSUE DIRECTORY,1.1.7,60.32,Silver,e57dd7a2-3c5c-4285-8001-8e2589c395e9,16.28
Not Rated,Cancer registration data for CPRD GOLD,32.78,5c2cd37f-a930-4e92-85a4-76394838ce90,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,e2f5d637-94b3-447b-b7eb-ea957ce449b6,53.49
Not Rated,International Severe Asthma Registry,61.08,5c7ae78d-53e6-427d-a3a9-52538f8342dc,52.38,31.75,55.55,HUB > BREATHE,1.1.7,42.86,Not Rated,9711e6cc-426c-4cef-afb3-64382f8d7ed4,30.23
Not Rated,Mental Health Dataset (MHDS) for CPRD Aurum,31.62,5ca0f47a-307f-448e-911c-24e01c79120f,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,48627b2d-f247-4921-9ee1-6c37adfff10d,55.81
Not Rated,Education Daily Attendance Dataset (EDAD),32.78,5cd5a6a1-f7a2-4d83-a3e3-423495c3a281,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,17056e83-ee5a-4fe7-86e1-f09563256be1,53.49
Not Rated,National Waiting List Diagnostics,32.78,5ce6905a-8b54-4d6c-9da6-e2d57ce45419,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,e508951d-e118-4217-84a4-722e50fdd400,53.49
Not Rated,Renal Register – ISD National dataset,32.78,5cf49b5c-bb8d-4ab2-90ce-74d801f7c090,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,32edd77d-533c-423f-b045-937507f8505d,53.49
Not Rated,Moorfields Ophthalmic Prescription 004,33.95,5d577e70-2b9b-4286-81f3-824978dc3069,19.05,50.79,41.27,,1.1.7,33.33,Not Rated,2ec8d8e3-35bc-4304-83e8-3afed4438cd5,51.16
Not Rated,NIHR BioResource: Case report form,31.62,5de9d313-fb9f-4dbf-a959-1329062eb1ef,19.05,60.32,36.5,,1.1.7,33.33,Not Rated,4b8675d3-dd87-4cca-804c-aaf0e4ff8140,55.81
Not Rated,ARIA Radonc,39.73,5e022f8f-4d07-44bb-a87c-43e31200fe1e,16.67,36.51,38.89,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST,1.1.7,14.29,Not Rated,59d72237-6969-4f59-9e87-48138978abe8,37.21
Not Rated,National Joint Registry - Primary Hip Replacement dataset,32.78,5e044863-b792-4256-aa45-3235a6546e39,19.05,55.56,38.88,,1.1.7,33.33,Not Rated,03280e87-6975-4a2a-967d-b332cb788e44,53.49
Silver,North West London Mental Health Data (NWL MH),87.13,5e19a471-64e3-4aa4-ac56-6901d5e39e28,92.86,25.4,85.72,HUB > DISCOVER NOW,1.1.7,96.83,Gold,2d3ec99a-a087-4355-8539-5a22cef58910,18.6
